Jahrgang,Geschlecht,Alter,qx
1951,Frau,51,0.001904
1951,Frau,52,0.001826
1951,Frau,53,0.002421
1951,Frau,54,0.002599
1951,Frau,55,0.003099
1951,Frau,56,0.002644
1951,Frau,57,0.003038
1951,Frau,58,0.003481
1951,Frau,59,0.003744
1951,Frau,60,0.003918
1951,Frau,61,0.004682
1951,Frau,62,0.004534
1951,Frau,63,0.00443
1951,Frau,64,0.005344
1951,Frau,65,0.005784
1951,Frau,66,0.00598
1951,Frau,67,0.006844
1951,Frau,68,0.007008
1951,Frau,69,0.008293
1951,Frau,70,0.009064
1951,Frau,71,0.008905
1951,Frau,72,0.009587
1951,Frau,73,0.010458
1951,Frau,74,0.011452
1951,Frau,75,0.012594
1951,Frau,76,0.013916
1951,Frau,77,0.015469
1951,Frau,78,0.017325
1951,Frau,79,0.019557
1951,Frau,80,0.022237
1951,Frau,81,0.025413
1951,Frau,82,0.029186
1951,Frau,83,0.033673
1951,Frau,84,0.038964
1951,Frau,85,0.045218
1951,Frau,86,0.0526
1951,Frau,87,0.061206
1951,Frau,88,0.071114
1951,Frau,89,0.082346
1951,Frau,90,0.094886
1951,Frau,91,0.108713
1951,Frau,92,0.1238
1951,Frau,93,0.140128
1951,Frau,94,0.157694
1951,Frau,95,0.176536
1951,Frau,96,0.196698
1951,Frau,97,0.218205
1951,Frau,98,0.24113
1951,Frau,99,0.265692
1951,Frau,100,0.291859
1951,Frau,101,0.319579
1951,Frau,102,0.34903
1951,Frau,103,0.380522
1951,Frau,104,0.414293
1951,Frau,105,0.44925
1951,Frau,106,0.484867
1951,Frau,107,0.524454
1951,Frau,108,0.56575
1951,Frau,109,0.608477
1951,Frau,110,0.652385
1951,Frau,111,0.697092
1951,Frau,112,0.742053
1951,Frau,113,0.786538
1951,Frau,114,0.82963
1951,Frau,115,0.870238
1951,Frau,116,0.907164
1951,Frau,117,0.939221
1951,Frau,118,0.965421
1951,Frau,119,0.98525
1951,Frau,120,1.0
1951,Mann,0,0.033984
1951,Mann,1,0.003003
1951,Mann,2,0.001859
1951,Mann,3,0.000891
1951,Mann,4,0.001348
1951,Mann,5,0.000824
1951,Mann,6,0.0008
1951,Mann,7,0.000606
1951,Mann,8,0.000388
1951,Mann,9,0.000482
1951,Mann,10,0.000418
1951,Mann,11,0.000469
1951,Mann,12,0.00037
1951,Mann,13,0.000388
1951,Mann,14,0.000409
1951,Mann,15,0.000557
1951,Mann,16,0.0007
1951,Mann,17,0.000777
1951,Mann,18,0.001322
1951,Mann,19,0.001763
1951,Mann,20,0.002339
1951,Mann,21,0.001837
1951,Mann,22,0.001579
1951,Mann,23,0.001736
1951,Mann,24,0.001398
1951,Mann,25,0.001359
1951,Mann,26,0.001533
1951,Mann,27,0.001445
1951,Mann,28,0.001482
1951,Mann,29,0.00147
1951,Mann,30,0.001261
1951,Mann,31,0.001457
1951,Mann,32,0.001259
1951,Mann,33,0.001125
1951,Mann,34,0.001219
1951,Mann,35,0.001314
1951,Mann,36,0.001552
1951,Mann,37,0.001602
1951,Mann,38,0.001692
1951,Mann,39,0.001662
1951,Mann,40,0.001879
1951,Mann,41,0.001661
1951,Mann,42,0.00196
1951,Mann,43,0.002404
1951,Mann,44,0.002211
1951,Mann,45,0.002467
1951,Mann,46,0.00248
1951,Mann,47,0.002923
1951,Mann,48,0.003036
1951,Mann,49,0.003791
1951,Mann,50,0.003039
1951,Mann,51,0.003756
1951,Mann,52,0.004004
1951,Mann,53,0.004652
1951,Mann,54,0.004237
1951,Mann,55,0.005067
1951,Mann,56,0.004711
1951,Mann,57,0.005093
1951,Mann,58,0.005616
1951,Mann,59,0.006567
1951,Mann,60,0.007221
1951,Mann,61,0.007612
1951,Mann,62,0.00761
1951,Mann,63,0.00864
1951,Mann,64,0.010295
1951,Mann,65,0.010226
1951,Mann,66,0.010849
1951,Mann,67,0.01186
1951,Mann,68,0.012512
1951,Mann,69,0.01342
1951,Mann,70,0.015149
1951,Mann,71,0.015901
1951,Mann,72,0.016962
1951,Mann,73,0.018358
1951,Mann,74,0.019953
1951,Mann,75,0.021768
1951,Mann,76,0.023828
1951,Mann,77,0.026196
1951,Mann,78,0.028953
1951,Mann,79,0.032169
1951,Mann,80,0.035895
1951,Mann,81,0.040284
1951,Mann,82,0.045475
1951,Mann,83,0.051603
1951,Mann,84,0.058753
1951,Mann,85,0.066952
1951,Mann,86,0.07625
1951,Mann,87,0.086817
1951,Mann,88,0.098879
1951,Mann,89,0.112703
1951,Mann,90,0.128425
1951,Mann,91,0.146097
1951,Mann,92,0.165559
1951,Mann,93,0.186621
1951,Mann,94,0.209121
1951,Mann,95,0.232762
1951,Mann,96,0.257381
1951,Mann,97,0.283499
1951,Mann,98,0.31191
1951,Mann,99,0.343551
1951,Mann,100,0.378567
1951,Mann,101,0.416635
1951,Mann,102,0.456496
1951,Mann,103,0.49836
1951,Mann,104,0.548501
1951,Mann,105,0.611493
1951,Mann,106,0.649433
1951,Mann,107,0.688457
1951,Mann,108,0.728161
1951,Mann,109,0.767983
1951,Mann,110,0.807196
1951,Mann,111,0.844911
1951,Mann,112,0.880121
1951,Mann,113,0.911779
1951,Mann,114,0.938931
1951,Mann,115,0.960872
1951,Mann,116,0.977315
1951,Mann,117,0.988506
1951,Mann,118,0.99522
1951,Mann,119,0.998616
1951,Mann,120,1.0
1952,Frau,0,0.024565
1952,Frau,1,0.002203
1952,Frau,2,0.001606
1952,Frau,3,0.000839
1952,Frau,4,0.000766
1952,Frau,5,0.000397
1952,Frau,6,0.000471
1952,Frau,7,0.000397
1952,Frau,8,0.000371
1952,Frau,9,0.000216
1952,Frau,10,0.000255
1952,Frau,11,0.000183
1952,Frau,12,0.000159
1952,Frau,13,0.000318
1952,Frau,14,0.000226
1952,Frau,15,0.00036
